fixedAcidity,volatileAcidity,citricAcid,residualSugar,chlorides,freeSulfurDioxide,totalSulfurDioxide,density,pH,sulphates,alcohol,quality,type,,,
6.945512531,0.272991816,0.403691034,13.9200381,0.051043408,66.07766198,245.6120703,0.9987677,3.16126913,0.579738132,9.504512576,4,White,,,
6.995486219,0.190401826,0.310377008,19.18626702,0.044147425,39.85279559,175.9084334,1.000244523,2.93299366,0.523323006,9.112224039,3,White,,,
5.978830905,0.140616465,0.251393152,4.40291175,0.028108741,32.09361159,151.5693665,0.995412077,3.488070376,0.511582208,11.07795148,4,White,,,
6.688603279,0.371501297,0.507941676,11.86284334,0.044918235,67.53173897,155.6085031,0.998802861,3.174424816,0.439772517,8.853944462,5,White,,,
7.224421185,0.201252415,0.220918305,1.612569819,0.044984027,16.81798725,121.6296234,0.995423898,3.373870479,0.528636914,10.36620784,5,White,,,
13.38638268,0.460974591,0.518178161,2.115101945,0.071774647,12.24444131,29.83035044,1.002140575,3.07954946,0.560803608,8.985117632,4,Red,,White ,0
7.065213512,0.54114959,0.09096071,2.028085317,0.08207842,9.636658206,16.4560757,0.996449794,3.430479348,0.589914527,11.63773604,4,Red,,Red,1
7.513034707,0.180834445,0.717479234,9.416855576,0.040037738,55.19754401,154.3437076,0.999001619,3.04368647,0.460808389,8.679364146,5,White,,,
8.721985668,0.621207272,0.190637058,3.948728906,0.170952402,47.79813286,151.5266121,0.999321805,3.179749678,0.923564504,9.287187317,5,Red,,,
8.796308098,0.697542486,0.240839026,2.4048792,0.227312694,5.137480855,14.55887372,0.999849713,3.312151474,0.59727657,9.056856919,4,Red,,,
6.69337707,0.481374732,0.489624515,2.690984903,0.031013376,28.69442634,112.2908203,0.990739468,3.130859803,0.40038539,12.97962618,4,White,,,
8.096571028,0.231377889,0.408761,1.075620497,0.048925381,33.96308758,166.7564926,0.992615963,3.084440699,0.470528592,11.10841445,5,White,,,
6.060750492,0.211230272,0.239627046,12.20606427,0.051028849,55.66074821,151.809824,0.997250832,3.335146053,0.392006816,9.435813817,5,White,,,
6.664370656,0.242658658,0.320866911,9.155750225,0.024032701,19.6301701,127.3985609,0.994306471,3.336682661,0.350099403,12.54961186,4,White,,,
6.848135046,0.320749057,0.261253697,8.277998666,0.053920034,31.97140612,168.2104005,0.996700981,3.252657583,0.509660993,9.357446419,4,White,,,
6.982981431,0.140896028,0.4007527,1.747810082,0.036003588,16.07393486,83.67668303,0.991708772,3.195321742,0.423128741,11.76814117,4,White,,,
5.611399075,0.662072882,0.000996987,2.155999852,0.088307283,3.089792031,11.81718182,0.994740267,3.733828276,0.631335994,12.77934614,3,Red,,,
5.559839941,0.349243254,0.401535912,6.021187408,0.022977689,22.23188856,166.3983709,0.994217423,3.534440367,0.500713348,11.81377221,3,White,,,
5.77769137,0.202983915,0.34223206,1.010678952,0.035968515,41.37945016,84.92502541,0.991363437,3.504806738,0.420890949,11.71667515,5,White,,,
5.5137595,0.334386132,0.30087677,2.480700437,0.072051992,28.76316821,127.9257327,0.993085248,3.132590404,0.511544619,9.717079199,4,White,,,
5.574315201,0.260946127,0.001000976,10.49110154,0.03913858,14.0323853,102.8002177,0.994402202,3.446804225,0.461236163,12.26861742,4,White,,,
8.226535706,0.249935133,0.491931436,16.63883037,0.048956535,49.81037609,234.8677673,1.000871693,3.025089243,0.519708067,9.353505322,4,White,,,
6.4685371,0.280299341,0.171412162,8.275670321,0.043059536,59.77603619,199.0605406,0.99711389,3.213442621,0.461748139,9.526518739,5,White,,,
7.202528635,0.230847123,0.230351879,3.489458339,0.039039563,23.90419636,106.902728,0.992902001,3.060087713,0.370517562,11.46297018,4,White,,,
6.353437366,0.229265775,0.391394072,1.76352483,0.032918162,24.27696579,96.3305844,0.991285882,3.320696338,0.504149756,11.67010191,4,White,,,
7.104097617,0.429874808,0.170531258,1.798573984,0.082683037,27.59684306,52.08164644,0.996382785,3.511502937,0.64457029,10.3926957,5,Red,,,
9.203125252,0.686711739,0.000993895,2.447571764,0.088784903,19.49930061,35.85890915,1.000025491,3.366165744,0.600892042,9.327579665,5,Red,,,
8.18200679,0.181127726,0.491011306,1.752118026,0.062093569,9.93969365,133.9156716,0.995657459,3.23376327,0.479299364,9.734542435,5,White,,,
6.677637478,0.180892641,0.300758143,12.4325425,0.063111432,19.46264386,178.7570353,0.999109518,3.006947803,0.522074806,9.037341313,3,White,,,
6.121067558,0.430510404,0.492156115,6.639743006,0.046051888,11.37163018,123.6154598,0.997413107,3.26457725,0.571790609,8.879995341,6,White,,,
6.795199003,0.106788109,0.321091798,12.78836734,0.051839259,33.44272181,99.30079752,0.99995954,3.550120504,0.450297091,9.318933946,4,White,,,
6.667742386,0.511348214,0.01100979,2.120355511,0.075037998,9.329263844,27.58444877,0.99727832,3.346231112,0.562260468,9.460554016,4,Red,,,
6.874807584,0.230613583,0.420633128,6.973217061,0.04498667,57.11248197,169.3408307,0.996296625,3.242332206,0.482612421,9.404109606,4,White,,,
6.557686733,0.230567507,0.321063907,0.906686778,0.041975404,25.38801417,74.79565006,0.993292203,3.409405928,0.543511241,10.30021523,3,White,,,
6.225787068,0.272678997,0.190941347,1.878143038,0.085975158,21.1940103,182.2174149,0.996443072,3.48196813,0.641528914,9.599834589,6,White,,,
6.628403468,0.151290675,0.379522281,1.710141103,0.037975919,20.55799547,74.7074868,0.991868049,3.09362512,0.531348086,11.36610889,4,White,,,
8.605487183,0.25187719,0.272039481,4.755777272,0.031952282,33.53701236,93.19410175,0.993196449,2.997012122,0.331302137,11.90986767,4,White,,,
7.112574433,0.24225947,0.290400822,3.106550261,0.036990282,17.56288111,115.7174404,0.995121416,3.37343452,0.683910706,10.24845461,4,White,,,
7.289304653,0.301210835,0.262309612,1.554723447,0.041908731,49.93953355,163.3577558,0.993308684,3.195711569,0.558838794,11.37032899,4,White,,,
8.231110788,0.331353388,0.419499686,1.166703681,0.033879103,16.30720373,101.5185893,0.990564028,3.195132073,0.321429717,12.48805246,7,White,,,
6.689617966,0.746557265,0.010967729,2.495586566,0.079114149,16.5438158,28.80574573,0.9960386,3.532303651,0.612786768,12.79983221,4,Red,,,
